113964,214.0,124.0
139506,215.0,124.0
165117,215.0,125.0
190673,217.0,125.0
216289,219.0,125.0
241804,220.0,125.0
267244,220.0,125.0
292827,220.0,125.0
318474,220.0,125.0
344067,220.0,124.0
369690,220.0,124.0
398348,220.0,124.0
423876,220.0,125.0
449385,221.0,125.0
478449,221.0,125.0
503943,222.0,125.0
529453,222.0,126.0
555058,222.0,125.0
631220,222.0,125.0
656731,223.0,125.0
682107,223.0,125.0
707553,223.0,124.0
736283,224.0,124.0
838487,225.0,124.0
863977,225.0,124.0
994026,226.0,124.0
1019651,226.0,124.0
1048689,226.0,126.0
1074277,228.0,126.0
1099748,228.0,126.0
1125116,228.0,124.0
1150515,228.0,124.0
1175983,227.0,124.0
1201624,227.0,124.0
1227101,227.0,126.0
1255431,227.0,126.0
