timestamp_ms,frame_idx,state
76323,0,unsure
76426,1,unsure
76537,2,unsure
76635,3,unsure
76739,4,unsure
76837,5,unsure
76935,6,unsure
77037,7,unsure
77138,8,unsure
77235,9,unsure
77332,10,unsure
77436,11,unsure
77534,12,unsure
77631,13,unsure
77729,14,unsure
77827,15,unsure
77924,16,unsure
78012,17,unsure
78103,18,unsure
78199,19,unsure
78295,20,unsure
78392,21,unsure
78489,22,unsure
78587,23,unsure
78684,24,unsure
78784,25,unsure
78883,26,unsure
78981,27,unsure
79078,28,unsure
79175,29,unsure
79280,30,unsure
79376,31,unsure
79478,32,unsure
79575,33,unsure
79673,34,unsure
79770,35,unsure
79867,36,unsure
79964,37,unsure
80060,38,unsure
80157,39,unsure
80260,40,unsure
80356,41,unsure
80453,42,unsure
80551,43,unsure
80647,44,unsure
80745,45,unsure
80843,46,unsure
80946,47,unsure
81042,48,unsure
81139,49,unsure
81236,50,unsure
81331,51,unsure
81430,52,unsure
81532,53,unsure
81634,54,unsure
81729,55,unsure
81826,56,unsure
81923,57,unsure
82019,58,unsure
82114,59,unsure
82226,60,unsure
82323,61,unsure
82419,62,unsure
82516,63,unsure
82611,64,unsure
82708,65,unsure
82803,66,unsure
82903,67,unsure
83001,68,unsure
83099,69,unsure
83204,70,unsure
83299,71,unsure
83395,72,unsure
83492,73,unsure
83599,74,unsure
83695,75,unsure
83791,76,unsure
83888,77,unsure
83985,78,unsure
84081,79,unsure
84178,80,unsure
84280,81,unsure
84382,82,unsure
84480,83,unsure
84586,84,unsure
84679,85,unsure
84776,86,unsure
84876,87,unsure
84974,88,unsure
85070,89,unsure
85176,90,unsure
85272,91,unsure
85373,92,unsure
85469,93,unsure
85571,94,unsure
85668,95,unsure
85764,96,unsure
85861,97,unsure
85957,98,unsure
86054,99,unsure
86150,100,unsure
86246,101,unsure
86348,102,unsure
86446,103,unsure
86543,104,unsure
86639,105,unsure
86735,106,unsure
86832,107,unsure
86928,108,unsure
87030,109,unsure
87136,110,unsure
87231,111,unsure
87327,112,unsure
87424,113,unsure
87522,114,unsure
87623,115,unsure
87723,116,unsure
87821,117,unsure
87918,118,unsure
88015,119,unsure
88122,120,unsure
88218,121,unsure
88320,122,unsure
88417,123,unsure
88514,124,unsure
88610,125,unsure
88715,126,unsure
88809,127,unsure
88919,128,unsure
89018,129,unsure
89115,130,unsure
89212,131,unsure
89309,132,unsure
89406,133,unsure
89504,134,unsure
89600,135,unsure
89703,136,unsure
89801,137,unsure
89898,138,unsure
89994,139,unsure
90091,140,unsure
90188,141,unsure
90285,142,unsure
90386,143,unsure
90483,144,unsure
90581,145,unsure
90678,146,unsure
90774,147,unsure
90871,148,unsure
90975,149,unsure
91081,150,unsure
91177,151,unsure
91274,152,unsure
91369,153,unsure
91471,154,unsure
91574,155,unsure
91669,156,unsure
91767,157,unsure
91863,158,unsure
91960,159,unsure
92057,160,unsure
92155,161,unsure
92252,162,unsure
92355,163,unsure
92453,164,unsure
92551,165,unsure
92648,166,unsure
92746,167,unsure
92843,168,unsure
92939,169,unsure
93051,170,unsure
93147,171,unsure
93243,172,unsure
93340,173,unsure
93437,174,unsure
93562,175,unsure
93675,176,unsure
93775,177,unsure
93875,178,unsure
93975,179,unsure
94086,180,unsure
94186,181,unsure
94292,182,unsure
94389,183,unsure
94489,184,unsure
94589,185,unsure
94692,186,unsure
94793,187,unsure
94903,188,unsure
95007,189,unsure
95110,190,unsure
95211,191,unsure
95310,192,unsure
95412,193,unsure
95512,194,unsure
95616,195,unsure
95724,196,unsure
95825,197,unsure
95926,198,unsure
96027,199,unsure
96128,200,unsure
96229,201,unsure
96329,202,unsure
96435,203,unsure
96540,204,open
96642,205,open
96743,206,open
96844,207,open
96945,208,open
97051,209,open
97163,210,open
97267,211,open
