175141,203.0,118.0
200596,204.0,117.0
225943,205.0,117.0
251553,205.0,117.0
276877,205.0,117.0
303183,206.0,117.0
330161,206.0,116.0
355421,206.0,115.0
380943,207.0,115.0
404301,208.0,114.0
429231,208.0,114.0
452259,207.0,113.0
475385,207.0,112.0
498159,207.0,112.0
521376,207.0,112.0
546965,207.0,112.0
570784,208.0,114.0
708478,214.0,114.0
731718,216.0,114.0
755041,216.0,115.0
995941,216.0,114.0
1018962,216.0,114.0
1042374,217.0,114.0
1064973,217.0,114.0
1087775,217.0,114.0
1110278,217.0,114.0
1133091,218.0,116.0
1155989,218.0,116.0
1178783,218.0,116.0
1201941,218.0,116.0
1224836,218.0,115.0
1247731,219.0,114.0
1275015,220.0,114.0
1344084,221.0,114.0
1367517,221.0,113.0
1413769,222.0,114.0
1436835,221.0,114.0
1460484,221.0,113.0
1483375,222.0,113.0
1506385,223.0,113.0
1531330,224.0,113.0
1557022,224.0,112.0
1604034,224.0,112.0
